OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
1,xxx,0.0,DSOLMap_785-Q-br2,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,0.04033848398076611,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,0.03808309471068128,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,0.03011345831757523,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,0.01954076395267167,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,0.01863147657896158,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,0.0182927224593441,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,xxx,0.0,DSOLMap_785-Qh-al,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,33957.97514216057,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,32059.330344156893,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,25350.285089551027,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,16449.918566102977,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,15684.45702698687,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,15399.285081041653,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,xxx,0.0,DSOLMap_785-Q-gl,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,45.25,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,42.72,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,33.78,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,21.92,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,20.9,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,20.52,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,xxx,0.0,DSOLMap_785-Q-br1,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,0.02597553892700848,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,0.024523204927332645,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,0.019391242098438594,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,0.012583067696796152,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,0.011997541736452535,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,0.011779404613971579,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,xxx,0.0,DSOLMap_785-PN-t,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.319,0.1084,3.0948572784523742,2.229,24.38,17.06,58.56,7.484,0.2145,0.1304,0.0,100.0,1.337,0.1057,2.921818849402993,1.948,25.36,16.77,57.88,8.03,0.2141,0.1306,0.0,300.0,1.368,0.10156,2.3103708036711867,1.375,28.64,16.11,55.25,8.625,0.2128,0.1351,0.0,600.0,1.392,0.09454,1.4992104208547192,1.008,31.3,15.79,52.9,9.74,0.2117,0.1371,0.0,1000.0,1.399,0.09515,1.4294478921470632,0.9263,31.44,15.79,52.75,10.98,0.2117,0.1378,0.0,2000.0,1.406,0.0914,1.4034579304716623,0.857,31.02,16.0,52.97,12.21,0.2119,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,xxx,0.0,DSOLMap_833-Q-br2,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.18,0.1466,0.03478754137827265,8.84,22.67,26.97,50.2,11.39,0.2134,0.1381,0.0,100.0,1.248,0.1436,0.03277159193499849,6.977,22.69,28.02,49.5,11.91,0.2135,0.1393,0.0,300.0,1.302,0.1382,0.028402046343665364,5.832,24.86,26.45,48.66,12.35,0.2128,0.1428,0.0,600.0,1.338,0.1318,0.023605476978633765,5.473,26.2,26.05,47.75,13.51,0.2123,0.1456,0.0,1000.0,1.343,0.1282,0.02306921456515197,5.508,26.02,25.92,48.06,14.35,0.2124,0.1465,0.0,2000.0,1.358,0.12335,0.02236412879927776,5.023,25.72,26.17,48.12,14.98,0.2128,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,xxx,0.0,DSOLMap_833-PN-t,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.18,0.1466,2.6689767440279866,8.84,22.67,26.97,50.2,11.39,0.2134,0.1381,0.0,100.0,1.248,0.1436,2.51430866551309,6.977,22.69,28.02,49.5,11.91,0.2135,0.1393,0.0,300.0,1.302,0.1382,2.179067510111345,5.832,24.86,26.45,48.66,12.35,0.2128,0.1428,0.0,600.0,1.338,0.1318,1.811064150886247,5.473,26.2,26.05,47.75,13.51,0.2123,0.1456,0.0,1000.0,1.343,0.1282,1.7699209181778512,5.508,26.02,25.92,48.06,14.35,0.2124,0.1465,0.0,2000.0,1.358,0.12335,1.7158251862834786,5.023,25.72,26.17,48.12,14.98,0.2128,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,xxx,0.0,DSOLMap_833-Qh-an,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.18,0.1466,0.06256486608486309,8.84,22.67,26.97,50.2,11.39,0.2134,0.1381,0.0,100.0,1.248,0.1436,0.05893921155582305,6.977,22.69,28.02,49.5,11.91,0.2135,0.1393,0.0,300.0,1.302,0.1382,0.05108065001504665,5.832,24.86,26.45,48.66,12.35,0.2128,0.1428,0.0,600.0,1.338,0.1318,0.042454092687330726,5.473,26.2,26.05,47.75,13.51,0.2123,0.1456,0.0,1000.0,1.343,0.1282,0.0414896328618718,5.508,26.02,25.92,48.06,14.35,0.2124,0.1465,0.0,2000.0,1.358,0.12335,0.0402215467950647,5.023,25.72,26.17,48.12,14.98,0.2128,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,xxx,0.0,DSOLMap_837-PN-t,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.109,0.146,2.549788894822695,13.26,22.78,26.97,50.06,11.69,0.212,0.1383,0.0,100.0,1.221,0.1449,2.3558612887375885,10.21,22.83,28.06,49.25,12.16,0.2122,0.1394,0.0,300.0,1.278,0.139,2.1468504244014186,8.99,23.23,28.16,48.72,12.48,0.2122,0.1421,0.0,600.0,1.318,0.1294,1.9055182923843972,8.81,23.72,27.73,48.53,13.73,0.2119,0.1436,0.0,1000.0,1.307,0.125,1.9019270404198583,8.92,23.48,27.64,48.88,14.43,0.2122,0.1442,0.0,2000.0,1.331,0.12225,1.7992172342340427,7.824,23.52,28.1,48.4,14.85,0.2126,0.1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,xxx,0.0,DSOLMap_1361-Qh-al,xxx,0.0,6.0,C,2000.0,0.5,0.5,WIT_texture,50.0,1.183,0.1748,29811.64870906687,10.82,22.12,28.11,49.88,11.42,0.2124,0.1353,0.0,100.0,1.274,0.173,28059.004188097093,7.973,23.14,26.89,49.84,11.89,0.212,0.1343,0.0,300.0,1.342,0.1626,23852.65733776963,6.44,24.88,26.1,49.0,12.48,0.2117,0.1377,0.0,600.0,1.389,0.1538,19562.851224538845,6.01,25.83,25.77,48.4,13.66,0.2114,0.1399,0.0,1000.0,1.412,0.1504,19003.67416308658,6.312,25.48,25.72,48.78,14.69,0.2115,0.1407,0.0,2000.0,1.422,0.147,18611.415627440965,6.676,25.3,25.83,48.88,15.47,0.2117,0.1411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
